system,RB,RB2,XB,XB2,VB,VB2,PB,PB2,EB,EB2,NB,NB2,RA,IA,VA,PA,EA,NA,RX,XX,VX,PX,EX,AX,NX,BEAX,BEBX,BEB2X,Bandgap
Li2BePdF6,0.59,0.84625,1.57,2.2,2,10,5.6,4.8,3.369600005,3.916640006,4,46,0.9,5.410080009,1,24.33,1.656720003,3,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-5.73747418,-5.897092546,-3.319597782,0.407
Li2BeTeF6,0.59,1.293333333,1.57,2.1,2,6,5.6,5.5,3.369600005,2.044640003,4,52,0.9,5.410080009,1,24.33,1.656720003,3,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-5.73747418,-5.897092546,-4.681404658,0.3361
Li2CoPdI6,0.768333333,0.84625,1.91,2.2,9,10,7.5,4.8,4.437680007,3.916640006,27,46,0.9,5.410080009,1,24.33,1.656720003,3,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.689630919,-1.046595196,-2.190810671,0.0031
Li2CoCdF6,0.768333333,1.09,1.91,1.69,9,12,7.5,7.36,4.437680007,1.162720002,27,48,0.9,5.410080009,1,24.33,1.656720003,3,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-5.73747418,-2.837697502,-2.228460083,0.0046
Li2CoTeI6,0.768333333,1.293333333,1.91,2.1,9,6,7.5,5.5,4.437680007,2.044640003,27,52,0.9,5.410080009,1,24.33,1.656720003,3,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.689630919,-1.046595196,-3.349766345,0.0072
Li2ZnPdF6,0.88,0.84625,1.65,2.2,12,10,5.75,4.8,1.356160002,3.916640006,30,46,0.9,5.410080009,1,24.33,1.656720003,3,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-5.73747418,-2.821480291,-3.319597782,0
Li2ZnTeF6,0.88,1.293333333,1.65,2.1,12,6,5.75,5.5,1.356160002,2.044640003,30,52,0.9,5.410080009,1,24.33,1.656720003,3,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-5.73747418,-2.821480291,-4.681404658,0
Na2NiPdF6,0.74,0.84625,1.88,2.2,10,10,6.8,4.8,4.473040007,3.916640006,28,46,1.16,5.156320008,1,24.11,1.118000002,11,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.55891026,-6.094753522,-3.319597782,0
Na2NiTeF6,0.74,1.293333333,1.88,2.1,10,6,6.8,5.5,4.473040007,2.044640003,28,52,1.16,5.156320008,1,24.11,1.118000002,11,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.55891026,-6.094753522,-4.681404658,0
Na2ZnPdI6,0.88,0.84625,1.65,2.2,12,10,5.75,4.8,1.356160002,3.916640006,30,46,1.16,5.156320008,1,24.11,1.118000002,11,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.154280889,-1.288829967,-2.190810671,0
Na2ZnTeI6,0.88,1.293333333,1.65,2.1,12,6,5.75,5.5,1.356160002,2.044640003,30,52,1.16,5.156320008,1,24.11,1.118000002,11,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.154280889,-1.288829967,-3.349766345,0.0184
K2CoPdF6,0.768333333,0.84625,1.91,2.2,9,10,7.5,4.8,4.437680007,3.916640006,27,46,1.52,4.355520007,1,43.06,0.925600001,19,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.540020928,-2.837697502,-3.319597782,0.0003
K2CoTeF6,0.768333333,1.293333333,1.91,2.1,9,6,7.5,5.5,4.437680007,2.044640003,27,52,1.52,4.355520007,1,43.06,0.925600001,19,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.540020928,-2.837697502,-4.681404658,0.0008
K2NiPdI6,0.74,0.84625,1.88,2.2,10,10,6.8,4.8,4.473040007,3.916640006,28,46,1.52,4.355520007,1,43.06,0.925600001,19,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.276070522,-4.554997046,-2.190810671,0.0051
K2NiTeI6,0.74,1.293333333,1.88,2.1,10,6,6.8,5.5,4.473040007,2.044640003,28,52,1.52,4.355520007,1,43.06,0.925600001,19,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.276070522,-4.554997046,-3.349766345,0.0024
Rb2BePdF6,0.59,0.84625,1.57,2.2,2,10,5.6,4.8,3.369600005,3.916640006,4,46,1.66,4.191200007,1,47.24,0.841360001,37,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.393533774,-5.897092546,-3.319597782,0.6513
Rb2BeTeF6,0.59,1.293333333,1.57,2.1,2,6,5.6,5.5,3.369600005,2.044640003,4,52,1.66,4.191200007,1,47.24,0.841360001,37,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.393533774,-5.897092546,-4.681404658,0.0021
Rb2CoPdI6,0.768333333,0.84625,1.91,2.2,9,10,7.5,4.8,4.437680007,3.916640006,27,46,1.66,4.191200007,1,47.24,0.841360001,37,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.277171207,-1.046595196,-2.190810671,0.0044
Rb2CoTeI6,0.768333333,1.293333333,1.91,2.1,9,6,7.5,5.5,4.437680007,2.044640003,27,52,1.66,4.191200007,1,47.24,0.841360001,37,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.277171207,-1.046595196,-3.349766345,0.0105
Rb2ZnPdF6,0.88,0.84625,1.65,2.2,12,10,5.75,4.8,1.356160002,3.916640006,30,46,1.66,4.191200007,1,47.24,0.841360001,37,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.393533774,-2.821480291,-3.319597782,0.2801
Rb2ZnTeF6,0.88,1.293333333,1.65,2.1,12,6,5.75,5.5,1.356160002,2.044640003,30,52,1.66,4.191200007,1,47.24,0.841360001,37,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.393533774,-2.821480291,-4.681404658,0.0024
Cs2BePdI6,0.59,0.84625,1.57,2.2,2,10,5.6,4.8,3.369600005,3.916640006,4,46,1.81,3.907280006,1,59.42,0.795600001,55,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.400777446,-2.650169631,-2.190810671,0.0078
Cs2BeTeI6,0.59,1.293333333,1.57,2.1,2,6,5.6,5.5,3.369600005,2.044640003,4,52,1.81,3.907280006,1,59.42,0.795600001,55,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.400777446,-2.650169631,-3.349766345,0.0098
Cs2NiPdF6,0.74,0.84625,1.88,2.2,10,10,6.8,4.8,4.473040007,3.916640006,28,46,1.81,3.907280006,1,59.42,0.795600001,55,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.699781335,-6.094753522,-3.319597782,0.4248
Cs2NiTeF6,0.74,1.293333333,1.88,2.1,10,6,6.8,5.5,4.473040007,2.044640003,28,52,1.81,3.907280006,1,59.42,0.795600001,55,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.699781335,-6.094753522,-4.681404658,0.0024
Cs2ZnPdI6,0.88,0.84625,1.65,2.2,12,10,5.75,4.8,1.356160002,3.916640006,30,46,1.81,3.907280006,1,59.42,0.795600001,55,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.400777446,-1.288829967,-2.190810671,0.0054
Cs2ZnTeI6,0.88,1.293333333,1.65,2.1,12,6,5.75,5.5,1.356160002,2.044640003,30,52,1.81,3.907280006,1,59.42,0.795600001,55,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.400777446,-1.288829967,-3.349766345,0.0034
Cu2SnNiF6,0.83,0.74,1.96,1.88,4,10,6.28,6.8,3.132480005,4.473040007,50,28,0.82,7.753200012,11,6.2,3.508960006,29,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.070800974,-5.797670082,-6.094753522,0.0088
Cu2GeZnF6,0.77,0.88,2.01,1.65,4,12,5.84,5.75,3.868800006,1.356160002,32,30,0.82,7.753200012,11,6.2,3.508960006,29,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.070800974,-6.409916222,-2.821480291,0.1947
Cu2BeCaF6,0.59,1.14,1.57,1,2,2,5.6,22.8,3.369600005,1.849120003,4,20,0.82,7.753200012,11,6.2,3.508960006,29,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.070800974,-5.897092546,-5.617895441,0.0913
Cu2BeIrF6,0.59,0.765,1.57,2.2,2,9,5.6,7.6,3.369600005,6.957600011,4,77,0.82,7.753200012,11,6.2,3.508960006,29,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.070800974,-5.897092546,-2.71233833,0.0029
Cu2MgBaF6,0.86,1.49,1.31,0.89,2,2,10.6,39.7,1.529840002,1.862640003,12,56,0.82,7.753200012,11,6.2,3.508960006,29,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.070800974,-4.506382689,-5.631980671,0.3719
Cu2MgTeF6,0.86,1.293333333,1.31,2.1,2,6,10.6,5.5,1.529840002,2.044640003,12,52,0.82,7.753200012,11,6.2,3.508960006,29,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.070800974,-4.506382689,-4.681404658,0.0014
Cu2CaFeF6,1.14,0.8525,1,1.83,2,8,22.8,8.4,1.849120003,4.321200007,20,26,0.82,7.753200012,11,6.2,3.508960006,29,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.070800974,-5.617895441,-6.31400697,0
Cu2SrNiF6,1.32,0.74,0.95,1.88,2,10,23.5,6.8,1.705600003,4.473040007,38,28,0.82,7.753200012,11,6.2,3.508960006,29,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.070800974,-5.423699785,-6.094753522,0.0133
Cu2BaZnF6,1.49,0.88,0.89,1.65,2,12,39.7,5.75,1.862640003,1.356160002,56,30,0.82,7.753200012,11,6.2,3.508960006,29,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.070800974,-5.631980671,-2.821480291,0.3773
Cu2MnIrF6,0.648333333,0.765,1.55,2.2,7,9,9.4,7.6,2.946320005,6.957600011,25,77,0.82,7.753200012,11,6.2,3.508960006,29,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.070800974,-3.751960163,-2.71233833,0.0174
Cu2FeTeF6,0.8525,1.293333333,1.83,2.1,8,6,8.4,5.5,4.321200007,2.044640003,26,52,0.82,7.753200012,11,6.2,3.508960006,29,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.070800974,-6.31400697,-4.681404658,0.0014
Cu2CuZnF6,0.82,0.88,1.9,1.65,11,12,6.2,5.75,3.508960006,1.356160002,29,30,0.82,7.753200012,11,6.2,3.508960006,29,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.070800974,-4.070800974,-2.821480291,0.0045
Cu2ZnIrF6,0.88,0.765,1.65,2.2,12,9,5.75,7.6,1.356160002,6.957600011,30,77,0.82,7.753200012,11,6.2,3.508960006,29,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.070800974,-2.821480291,-2.71233833,0.0143
Ag2MnNiF6,0.648333333,0.74,1.55,1.88,7,10,9.4,6.8,2.946320005,4.473040007,25,28,1.086666667,7.602400012,11,6.78,2.962960005,47,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-3.178730516,-3.751960163,-6.094753522,0.0113
Ag2FeZnF6,0.8525,0.88,1.83,1.65,8,12,8.4,5.75,4.321200007,1.356160002,26,30,1.086666667,7.602400012,11,6.78,2.962960005,47,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-3.178730516,-6.31400697,-2.821480291,0.0061
Ag2CoIrF6,0.768333333,0.765,1.91,2.2,9,9,7.5,7.6,4.437680007,6.957600011,27,77,1.086666667,7.602400012,11,6.78,2.962960005,47,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-3.178730516,-2.837697502,-2.71233833,0.0043
Ag2NiTeF6,0.74,1.293333333,1.88,2.1,10,6,6.8,5.5,4.473040007,2.044640003,28,52,1.086666667,7.602400012,11,6.78,2.962960005,47,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-3.178730516,-6.094753522,-4.681404658,0.0149
Au2SnBeF6,0.83,0.59,1.96,1.57,4,2,6.28,5.6,3.132480005,3.369600005,50,4,1.07,9.257040015,11,5.8,3.829280006,79,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-2.766317607,-5.797670082,-5.897092546,0.292
Au2SnZnF6,0.83,0.88,1.96,1.65,4,12,6.28,5.75,3.132480005,1.356160002,50,30,1.07,9.257040015,11,5.8,3.829280006,79,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-2.766317607,-5.797670082,-2.821480291,0.0064
Au2GeCaF6,0.77,1.14,2.01,1,4,2,5.84,22.8,3.868800006,1.849120003,32,20,1.07,9.257040015,11,5.8,3.829280006,79,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-2.766317607,-6.409916222,-5.617895441,0.0002
Au2GeIrF6,0.77,0.765,2.01,2.2,4,9,5.84,7.6,3.868800006,6.957600011,32,77,1.07,9.257040015,11,5.8,3.829280006,79,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-2.766317607,-6.409916222,-2.71233833,0.021
Au2BeBaF6,0.59,1.49,1.57,0.89,2,2,5.6,39.7,3.369600005,1.862640003,4,56,1.07,9.257040015,11,5.8,3.829280006,79,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-2.766317607,-5.897092546,-5.631980671,0.3462
Au2BeTeF6,0.59,1.293333333,1.57,2.1,2,6,5.6,5.5,3.369600005,2.044640003,4,52,1.07,9.257040015,11,5.8,3.829280006,79,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-2.766317607,-5.897092546,-4.681404658,0.0052
Au2MgFeF6,0.86,0.8525,1.31,1.83,2,8,10.6,8.4,1.529840002,4.321200007,12,26,1.07,9.257040015,11,5.8,3.829280006,79,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-2.766317607,-4.506382689,-6.31400697,0.0026
Au2CaNiF6,1.14,0.74,1,1.88,2,10,22.8,6.8,1.849120003,4.473040007,20,28,1.07,9.257040015,11,5.8,3.829280006,79,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-2.766317607,-5.617895441,-6.094753522,0.0002
Au2SrZnF6,1.32,0.88,0.95,1.65,2,12,23.5,5.75,1.705600003,1.356160002,38,30,1.07,9.257040015,11,5.8,3.829280006,79,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-2.766317607,-5.423699785,-2.821480291,0.1544
Au2BaIrF6,1.49,0.765,0.89,2.2,2,9,39.7,7.6,1.862640003,6.957600011,56,77,1.07,9.257040015,11,5.8,3.829280006,79,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-2.766317607,-5.631980671,-2.71233833,0.0208
Au2MnTeF6,0.648333333,1.293333333,1.55,2.1,7,6,9.4,5.5,2.946320005,2.044640003,25,52,1.07,9.257040015,11,5.8,3.829280006,79,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-2.766317607,-3.751960163,-4.681404658,0.0036
Au2CoNiF6,0.768333333,0.74,1.91,1.88,9,10,7.5,6.8,4.437680007,4.473040007,27,28,1.07,9.257040015,11,5.8,3.829280006,79,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-2.766317607,-2.837697502,-6.094753522,0.0012
Cs2MgMnI6,0.86,0.648333333,1.31,1.55,2,7,10.6,9.4,1.529840002,2.946320005,12,25,1.81,3.907280006,1,59.42,0.795600001,55,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.400777446,-2.072539693,-1.583164824,0.001
Cs2MgFeI6,0.86,0.8525,1.31,1.83,2,8,10.6,8.4,1.529840002,4.321200007,12,26,1.81,3.907280006,1,59.42,0.795600001,55,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.400777446,-2.072539693,-3.021789169,0.0018
Cs2MgCoI6,0.86,0.768333333,1.31,1.91,2,9,10.6,7.5,1.529840002,4.437680007,12,27,1.81,3.907280006,1,59.42,0.795600001,55,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.400777446,-2.072539693,-1.046595196,0.0001
Cs2MgNiI6,0.86,0.74,1.31,1.88,2,10,10.6,6.8,1.529840002,4.473040007,12,28,1.81,3.907280006,1,59.42,0.795600001,55,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.400777446,-2.072539693,-4.554997046,0.0006
Cs2CaMnI6,1.14,0.648333333,1,1.55,2,7,22.8,9.4,1.849120003,2.946320005,20,25,1.81,3.907280006,1,59.42,0.795600001,55,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.400777446,-3.015577986,-1.583164824,0.0006
Cs2CaFeI6,1.14,0.8525,1,1.83,2,8,22.8,8.4,1.849120003,4.321200007,20,26,1.81,3.907280006,1,59.42,0.795600001,55,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.400777446,-3.015577986,-3.021789169,0.0012
Cs2CaCoI6,1.14,0.768333333,1,1.91,2,9,22.8,7.5,1.849120003,4.437680007,20,27,1.81,3.907280006,1,59.42,0.795600001,55,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.400777446,-3.015577986,-1.046595196,0.0013
Cs2CaNiI6,1.14,0.74,1,1.88,2,10,22.8,6.8,1.849120003,4.473040007,20,28,1.81,3.907280006,1,59.42,0.795600001,55,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.400777446,-3.015577986,-4.554997046,0.2491
Cs2CaPtI6,1.14,0.805,1,2.28,2,10,22.8,6.5,1.849120003,5.883280009,20,78,1.81,3.907280006,1,59.42,0.795600001,55,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.400777446,-3.015577986,-2.998163763,0.0019
Cs2SrMnI6,1.32,0.648333333,0.95,1.55,2,7,23.5,9.4,1.705600003,2.946320005,38,25,1.81,3.907280006,1,59.42,0.795600001,55,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.400777446,-3.034095072,-1.583164824,0.001
Cs2SrFeI6,1.32,0.8525,0.95,1.83,2,8,23.5,8.4,1.705600003,4.321200007,38,26,1.81,3.907280006,1,59.42,0.795600001,55,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.400777446,-3.034095072,-3.021789169,0.0011
Cs2SrCoI6,1.32,0.768333333,0.95,1.91,2,9,23.5,7.5,1.705600003,4.437680007,38,27,1.81,3.907280006,1,59.42,0.795600001,55,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.400777446,-3.034095072,-1.046595196,0.0032
Cs2SrNiI6,1.32,0.74,0.95,1.88,2,10,23.5,6.8,1.705600003,4.473040007,38,28,1.81,3.907280006,1,59.42,0.795600001,55,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.400777446,-3.034095072,-4.554997046,0.1883
Cs2BaFeI6,1.49,0.8525,0.89,1.83,2,8,39.7,8.4,1.862640003,4.321200007,56,26,1.81,3.907280006,1,59.42,0.795600001,55,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.400777446,-3.345271088,-3.021789169,0.0006
Rb2CaTeI6,1.14,1.293333333,1,2.1,2,6,22.8,5.5,1.849120003,2.044640003,20,52,1.66,4.191200007,1,47.24,0.841360001,37,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.277171207,-3.015577986,-3.349766345,0.0003
Cs2PbSnI6,1.1225,0.83,2.33,1.96,4,4,6.98,6.28,2.030080003,3.132480005,82,50,1.81,3.907280006,1,59.42,0.795600001,55,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.400777446,-3.870140802,-3.976541798,0.1246
Cs2PbMnI6,1.1225,0.648333333,2.33,1.55,4,7,6.98,9.4,2.030080003,2.946320005,82,25,1.81,3.907280006,1,59.42,0.795600001,55,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.400777446,-3.870140802,-1.583164824,0.0009
Na2BePtF6,0.59,0.805,1.57,2.28,2,10,5.6,6.5,3.369600005,5.883280009,4,78,1.16,5.156320008,1,24.11,1.118000002,11,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.55891026,-5.897092546,-3.770903917,0.7863
K2MgZnI6,0.86,0.88,1.31,1.65,2,12,10.6,5.75,1.529840002,1.356160002,12,30,1.52,4.355520007,1,43.06,0.925600001,19,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.276070522,-2.072539693,-1.288829967,0.085
Li2BeSrI6,0.59,1.32,1.57,0.95,2,2,5.6,23.5,3.369600005,1.705600003,4,38,0.9,5.410080009,1,24.33,1.656720003,3,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.689630919,-2.650169631,-3.034095072,2.0934
K2BeSrF6,0.59,1.32,1.57,0.95,2,2,5.6,23.5,3.369600005,1.705600003,4,38,1.52,4.355520007,1,43.06,0.925600001,19,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.540020928,-5.897092546,-5.423699785,6.4873
Rb2BeSrI6,0.59,1.32,1.57,0.95,2,2,5.6,23.5,3.369600005,1.705600003,4,38,1.66,4.191200007,1,47.24,0.841360001,37,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.277171207,-2.650169631,-3.034095072,2.2112
Cu2GeBeF6,0.77,0.59,2.01,1.57,4,2,5.84,5.6,3.868800006,3.369600005,32,4,0.82,7.753200012,11,6.2,3.508960006,29,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.070800974,-6.409916222,-5.897092546,0.8383
Ag2PbCaF6,1.1225,1.14,2.33,1,4,2,6.98,22.8,2.030080003,1.849120003,82,20,1.086666667,7.602400012,11,6.78,2.962960005,47,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-3.178730516,-5.418199626,-5.617895441,1.0579
Ag2BeNiF6,0.59,0.74,1.57,1.88,2,10,5.6,6.8,3.369600005,4.473040007,4,28,1.086666667,7.602400012,11,6.78,2.962960005,47,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-3.178730516,-5.897092546,-6.094753522,1.1939
Ag2MgZnF6,0.86,0.88,1.31,1.65,2,12,10.6,5.75,1.529840002,1.356160002,12,30,1.086666667,7.602400012,11,6.78,2.962960005,47,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-3.178730516,-4.506382689,-2.821480291,1.9897
Ag2SrBaF6,1.32,1.49,0.95,0.89,2,2,23.5,39.7,1.705600003,1.862640003,38,56,1.086666667,7.602400012,11,6.78,2.962960005,47,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-3.178730516,-5.423699785,-5.631980671,1.6249
Cs2BaMnI6,1.49,0.648333333,0.89,1.55,2,7,39.7,9.4,1.862640003,2.946320005,56,25,1.81,3.907280006,1,59.42,0.795600001,55,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.400777446,-3.345271088,-1.583164824,1.8763
Li2BeMnF6,0.59,0.648333333,1.57,1.55,2,7,5.6,9.4,3.369600005,2.946320005,4,25,0.9,5.410080009,1,24.33,1.656720003,3,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-5.73747418,-5.897092546,-3.751960163,1.9591
Na2MnNiF6,0.648333333,0.74,1.55,1.88,7,10,9.4,6.8,2.946320005,4.473040007,25,28,1.16,5.156320008,1,24.11,1.118000002,11,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.55891026,-3.751960163,-6.094753522,0.9546
K2PbBeI6,1.1225,0.59,2.33,1.57,4,2,6.98,5.6,2.030080003,3.369600005,82,4,1.52,4.355520007,1,43.06,0.925600001,19,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.276070522,-3.870140802,-2.650169631,1.3875
K2BaMnI6,1.49,0.648333333,0.89,1.55,2,7,39.7,9.4,1.862640003,2.946320005,56,25,1.52,4.355520007,1,43.06,0.925600001,19,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.276070522,-3.345271088,-1.583164824,1.7099
Rb2PbGeI6,1.1225,0.77,2.33,2.01,4,4,6.98,5.84,2.030080003,3.868800006,82,32,1.66,4.191200007,1,47.24,0.841360001,37,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.277171207,-3.870140802,-4.233328196,0.8127
Cs2BaZnI6,1.49,0.88,0.89,1.65,2,12,39.7,5.75,1.862640003,1.356160002,56,30,1.81,3.907280006,1,59.42,0.795600001,55,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.400777446,-3.345271088,-1.288829967,2.0065
Na2GeMgI6,0.77,0.86,2.01,1.31,4,2,5.84,10.6,3.868800006,1.529840002,32,12,1.16,5.156320008,1,24.11,1.118000002,11,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.154280889,-4.233328196,-2.072539693,1.5063
K2SnBeI6,0.83,0.59,1.96,1.57,4,2,6.28,5.6,3.132480005,3.369600005,50,4,1.52,4.355520007,1,43.06,0.925600001,19,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.276070522,-3.976541798,-2.650169631,0.8394
K2GeSrI6,0.77,1.32,2.01,0.95,4,2,5.84,23.5,3.868800006,1.705600003,32,38,1.52,4.355520007,1,43.06,0.925600001,19,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.276070522,-4.233328196,-3.034095072,2.6885
Rb2PbBeI6,1.1225,0.59,2.33,1.57,4,2,6.98,5.6,2.030080003,3.369600005,82,4,1.66,4.191200007,1,47.24,0.841360001,37,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.277171207,-3.870140802,-2.650169631,1.3785
Rb2GeMgI6,0.77,0.86,2.01,1.31,4,2,5.84,10.6,3.868800006,1.529840002,32,12,1.66,4.191200007,1,47.24,0.841360001,37,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.277171207,-4.233328196,-2.072539693,1.5197
Rb2GeBaI6,0.77,1.49,2.01,0.89,4,2,5.84,39.7,3.868800006,1.862640003,32,56,1.66,4.191200007,1,47.24,0.841360001,37,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.277171207,-4.233328196,-3.345271088,2.7362
Rb2SrZnI6,1.32,0.88,0.95,1.65,2,12,23.5,5.75,1.705600003,1.356160002,38,30,1.66,4.191200007,1,47.24,0.841360001,37,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.277171207,-3.034095072,-1.288829967,1.7001
Rb2PdBaI6,0.84625,1.49,2.2,0.89,10,2,4.8,39.7,3.916640006,1.862640003,46,56,1.66,4.191200007,1,47.24,0.841360001,37,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.277171207,-2.190810671,-3.345271088,3.145
Cs2GeSrI6,0.77,1.32,2.01,0.95,4,2,5.84,23.5,3.868800006,1.705600003,32,38,1.81,3.907280006,1,59.42,0.795600001,55,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.400777446,-4.233328196,-3.034095072,2.692
Cs2SrZnI6,1.32,0.88,0.95,1.65,2,12,23.5,5.75,1.705600003,1.356160002,38,30,1.81,3.907280006,1,59.42,0.795600001,55,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.400777446,-3.034095072,-1.288829967,1.6639
K2CuBiF6,0.82,1.035,1.9,2.02,11,5,6.2,7.4,3.508960006,2.179840003,29,83,1.52,4.355520007,1,43.06,0.925600001,19,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.540020928,-4.070800974,-4.0354713,0.8036
K2AgBiI6,1.086666667,1.035,1.93,2.02,11,5,6.78,7.4,2.962960005,2.179840003,47,83,1.52,4.355520007,1,43.06,0.925600001,19,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.276070522,-2.403892393,-2.628635934,0.8079
Rb2AgBiI6,1.086666667,1.035,1.93,2.02,11,5,6.78,7.4,2.962960005,2.179840003,47,83,1.66,4.191200007,1,47.24,0.841360001,37,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.277171207,-2.403892393,-2.628635934,0.8227
