system,RB,RB2,XB,XB2,VB,VB2,PB,PB2,EB,EB2,NB,NB2,RA,IA,VA,PA,EA,NA,RX,XX,VX,PX,EX,AX,NX,BEAX,BEBX,BEB2X,Bandgap
Cs2KScBr6,1.52,0.885,0.82,1.36,1,3,43.06,17.8,0.925600001,3.929120006,19,21,1.81,3.907280006,1,59.42,0.795600001,55,0.8825,2.96,7,3.05,1.163240002,3.3635882,35,-3.864613159,-3.709164607,-3.798499327,3.2293
Cs2KGaCl6,1.52,0.76,0.82,1.81,1,3,43.06,8.12,0.925600001,2.828384005,19,31,1.81,3.907280006,1,59.42,0.795600001,55,0.78,3.16,7,2.18,1.261540802,3.612725,17,-4.169720578,-3.99502,-4.242998713,3.2414
Na2KGaCl6,1.52,0.76,0.82,1.81,1,3,43.06,8.12,0.925600001,2.828384005,19,31,1.16,5.156320008,1,24.11,1.118000002,11,0.78,3.16,7,2.18,1.261540802,3.612725,17,-3.955721302,-3.99502,-4.242998713,3.3583
Li2KGaCl6,1.52,0.76,0.82,1.81,1,3,43.06,8.12,0.925600001,2.828384005,19,31,0.9,5.410080009,1,24.33,1.656720003,3,0.78,3.16,7,2.18,1.261540802,3.612725,17,-4.684686849,-3.99502,-4.242998713,3.3637
Cs2KBiBr6,1.52,1.035,0.82,2.02,1,5,43.06,7.4,0.925600001,2.179840003,19,83,1.81,3.907280006,1,59.42,0.795600001,55,0.8825,2.96,7,3.05,1.163240002,3.3635882,35,-3.864613159,-3.709164607,-2.995223886,3.4155
Rb2KBiBr6,1.52,1.035,0.82,2.02,1,5,43.06,7.4,0.925600001,2.179840003,19,83,1.66,4.191200007,1,47.24,0.841360001,37,0.8825,2.96,7,3.05,1.163240002,3.3635882,35,-3.75,-3.709164607,-2.995223886,3.4253
K2KBiBr6,1.52,1.035,0.82,2.02,1,5,43.06,7.4,0.925600001,2.179840003,19,83,1.52,4.355520007,1,43.06,0.925600001,19,0.8825,2.96,7,3.05,1.163240002,3.3635882,35,-3.709164607,-3.709164607,-2.995223886,3.4265
Na2KInCl6,1.52,0.94,0.82,1.78,1,3,43.06,9.1,0.925600001,2.527200004,19,49,1.16,5.156320008,1,24.11,1.118000002,11,0.78,3.16,7,2.18,1.261540802,3.612725,17,-3.955721302,-3.99502,-4.431521419,3.4277
Li2KAlCl6,1.52,0.675,0.82,1.61,1,3,43.06,6.8,0.925600001,3.441360006,19,13,0.9,5.410080009,1,24.33,1.656720003,3,0.78,3.16,7,2.18,1.261540802,3.612725,17,-4.684686849,-3.99502,-5.067606027,3.6678
Li2KScCl6,1.52,0.885,0.82,1.36,1,3,43.06,17.8,0.925600001,3.929120006,19,21,0.9,5.410080009,1,24.33,1.656720003,3,0.78,3.16,7,2.18,1.261540802,3.612725,17,-4.684686849,-3.99502,-4.380249636,3.7095
Na2KAlCl6,1.52,0.675,0.82,1.61,1,3,43.06,6.8,0.925600001,3.441360006,19,13,1.16,5.156320008,1,24.11,1.118000002,11,0.78,3.16,7,2.18,1.261540802,3.612725,17,-3.955721302,-3.99502,-5.067606027,3.7159
Na2KScCl6,1.52,0.885,0.82,1.36,1,3,43.06,17.8,0.925600001,3.929120006,19,21,1.16,5.156320008,1,24.11,1.118000002,11,0.78,3.16,7,2.18,1.261540802,3.612725,17,-3.955721302,-3.99502,-4.380249636,3.743
Rb2CuYF6,0.82,1.04,1.9,1.22,11,3,6.2,22.7,3.508960006,4.416880007,29,39,1.66,4.191200007,1,47.24,0.841360001,37,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.393533774,-4.070800974,-6.98499023,0.8794
Cs2CuYF6,0.82,1.04,1.9,1.22,11,3,6.2,22.7,3.508960006,4.416880007,29,39,1.81,3.907280006,1,59.42,0.795600001,55,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.699781335,-4.070800974,-6.98499023,1.3822
Li2AgYF6,1.086666667,1.04,1.93,1.22,11,3,6.78,22.7,2.962960005,4.416880007,47,39,0.9,5.410080009,1,24.33,1.656720003,3,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-5.73747418,-3.178730516,-6.98499023,1.5356
Li2CuYI6,0.82,1.04,1.9,1.22,11,3,6.2,22.7,3.508960006,4.416880007,29,39,0.9,5.410080009,1,24.33,1.656720003,3,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.689630919,-3.015509414,-3.75412371,1.5441
Na2CuYI6,0.82,1.04,1.9,1.22,11,3,6.2,22.7,3.508960006,4.416880007,29,39,1.16,5.156320008,1,24.11,1.118000002,11,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.154280889,-3.015509414,-3.75412371,1.6124
Na2AgYF6,1.086666667,1.04,1.93,1.22,11,3,6.78,22.7,2.962960005,4.416880007,47,39,1.16,5.156320008,1,24.11,1.118000002,11,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.55891026,-3.178730516,-6.98499023,1.641
Cs2CuYI6,0.82,1.04,1.9,1.22,11,3,6.2,22.7,3.508960006,4.416880007,29,39,1.81,3.907280006,1,59.42,0.795600001,55,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.400777446,-3.015509414,-3.75412371,1.7062
Rb2CuYI6,0.82,1.04,1.9,1.22,11,3,6.2,22.7,3.508960006,4.416880007,29,39,1.66,4.191200007,1,47.24,0.841360001,37,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.277171207,-3.015509414,-3.75412371,1.7409
Na2CsYI6,1.81,1.04,0.79,1.22,1,3,59.42,22.7,0.795600001,4.416880007,55,39,1.16,5.156320008,1,24.11,1.118000002,11,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.154280889,-3.400777446,-3.75412371,2.2776
Li2CsYI6,1.81,1.04,0.79,1.22,1,3,59.42,22.7,0.795600001,4.416880007,55,39,0.9,5.410080009,1,24.33,1.656720003,3,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.689630919,-3.400777446,-3.75412371,2.2812
Na2AgYI6,1.086666667,1.04,1.93,1.22,11,3,6.78,22.7,2.962960005,4.416880007,47,39,1.16,5.156320008,1,24.11,1.118000002,11,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.154280889,-2.403892393,-3.75412371,2.2845
Li2LiYI6,0.9,1.04,0.98,1.22,1,3,24.33,22.7,1.656720003,4.416880007,3,39,0.9,5.410080009,1,24.33,1.656720003,3,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.689630919,-3.689630919,-3.75412371,2.2854
Na2RbYI6,1.66,1.04,0.82,1.22,1,3,47.24,22.7,0.841360001,4.416880007,37,39,1.16,5.156320008,1,24.11,1.118000002,11,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.154280889,-3.277171207,-3.75412371,2.3362
Li2NaYI6,1.16,1.04,0.93,1.22,1,3,24.11,22.7,1.118000002,4.416880007,11,39,0.9,5.410080009,1,24.33,1.656720003,3,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.689630919,-3.154280889,-3.75412371,2.3442
Na2LiYI6,0.9,1.04,0.98,1.22,1,3,24.33,22.7,1.656720003,4.416880007,3,39,1.16,5.156320008,1,24.11,1.118000002,11,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.154280889,-3.689630919,-3.75412371,2.3677
Na2NaYI6,1.16,1.04,0.93,1.22,1,3,24.11,22.7,1.118000002,4.416880007,11,39,1.16,5.156320008,1,24.11,1.118000002,11,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.154280889,-3.154280889,-3.75412371,2.4004
K2AgYF6,1.086666667,1.04,1.93,1.22,11,3,6.78,22.7,2.962960005,4.416880007,47,39,1.52,4.355520007,1,43.06,0.925600001,19,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.540020928,-3.178730516,-6.98499023,2.6195
K2LiYI6,0.9,1.04,0.98,1.22,1,3,24.33,22.7,1.656720003,4.416880007,3,39,1.52,4.355520007,1,43.06,0.925600001,19,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.276070522,-3.689630919,-3.75412371,2.9702
Rb2LiYI6,0.9,1.04,0.98,1.22,1,3,24.33,22.7,1.656720003,4.416880007,3,39,1.66,4.191200007,1,47.24,0.841360001,37,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.277171207,-3.689630919,-3.75412371,2.9885
Cs2LiYI6,0.9,1.04,0.98,1.22,1,3,24.33,22.7,1.656720003,4.416880007,3,39,1.81,3.907280006,1,59.42,0.795600001,55,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.400777446,-3.689630919,-3.75412371,3.0084
Cs2NaYI6,1.16,1.04,0.93,1.22,1,3,24.11,22.7,1.118000002,4.416880007,11,39,1.81,3.907280006,1,59.42,0.795600001,55,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.400777446,-3.154280889,-3.75412371,3.1503
Rb2CsYI6,1.81,1.04,0.79,1.22,1,3,59.42,22.7,0.795600001,4.416880007,55,39,1.66,4.191200007,1,47.24,0.841360001,37,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.277171207,-3.400777446,-3.75412371,3.208
Cs2CsYI6,1.81,1.04,0.79,1.22,1,3,59.42,22.7,0.795600001,4.416880007,55,39,1.81,3.907280006,1,59.42,0.795600001,55,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.400777446,-3.400777446,-3.75412371,3.3577
